HALTESTELLENNAME;ZUGEHOERIGKEIT;Linien die Haltestelle bedienen;Fahrrichtung;X;Y
Harruckerstra�e;LINZ Linien;L038;Rudolfstra�e;70495;354080
Hartheimer Stra�e;LINZ Linien;L002;Universit�t;74430;345204
Hartheimer Stra�e;LINZ Linien;L104;Sennweg;74430;345204
Hartheimer Stra�e;LINZ Linien;L104;Waldesruh;74430;345204
Hartheimer Stra�e;LINZ Linien;L002;solarCity;74430;345204
Hatschekstra�e;LINZ Linien;L041, L043;Baintwiese, Stadtfriedhof;71319;348954
Hatschekstra�e;LINZ Linien;L041, L043;Hessenplatz;71319;348954
Hauderweg;LINZ Linien;L002;Universit�t;73992;345510
Hauderweg;LINZ Linien;L104;Sennweg;73992;345510
Hauderweg;LINZ Linien;L104;Waldesruh;73992;345510
Hauderweg;LINZ Linien;L002;solarCity;73992;345510
Hauptbahnhof;LINZ Linien;L012, L017, L019;Waldeggstra�e;71153,31;350744,07
Hauptbahnhof;LINZ Linien;L001, L002, L003;Auwiesen, solarCity, Doblerholz;71153,31;350744,07
Hauptbahnhof;LINZ Linien;L001, L002, L003;Universit�t, Landgutstra�e;71153,31;350744,07
Hauptbahnhof/Busterminal;LINZ Linien;L046;Hafen;71218,03;350864,51
Hauptbahnhof/Busterminal;LINZ Linien;L077;Endhaltestelle;71218,03;350864,51
Hauptbahnhof/Busterminal;LINZ Linien;L045;Endhaltestelle;71218,03;350864,51
Hauptbahnhof/K�rntnerstra�e;LINZ Linien;L012, L017, L019, L027, L046, L070, L071, L073;Auwiesen, Froschberg;71072;350777,45
Hauptbahnhof/K�rntnerstra�e;LINZ Linien;L012, L017, L019, L027, L046, L070, L071, L073;Karlhof, Fernheizkraftwerk;71072;350777,45
Hauptplatz;LINZ Linien;L192;St. Margarethen;70742;352448
Hauptplatz;LINZ Linien;L001, L002, L003;Hauptbahnhof;70742;352448
Hauptplatz;LINZ Linien;L001, L002, L003;Universit�t, Landgutstra�e;70742;352448
Hauptplatz;LINZ Linien;L050;Endhaltestelle;70742;352448
Hausleitnerweg;LINZ Linien;L103;VOEST Alpine;71869,22;348376,93
Haydnstra�e;LINZ Linien;L103;VOEST Alpine;72231;348505
Heilhamer Weg;LINZ Linien;L012, L025;Auwiesen, Oed;71179;353825
Heilhamer Weg;LINZ Linien;L012, L025;Karlhof;71179;353825
Helmholtzstra�e;LINZ Linien;L011, L019;Meixnerkreuzung;70180;346725
Helmholtzstra�e;LINZ Linien;L011, L019;Pichlinger See;70180;346725
Herz-Jesu-Kirche;LINZ Linien;L001, L002;Auwiesen, solarCity;71828;350319
Herz-Jesu-Kirche;LINZ Linien;L001, L002;Universit�t;71828;350319
Hessenplatz;LINZ Linien;L041, L043;Baintwiese, Stadtfriedhof;71315;351859
