Flaeche;BaumNr;Gattung;Art;Sorte;NameDeutsch;Hoehe;Schirmdurchmesser;Stammumfang;Typ;XPos;YPos;lon;lat
262;466;Betula;pendula; -;Weiﬂ-Birke;27;9;143;L;73132;355736;14,3189407664928;48,3356308346090
262;641;Populus;sp.; -;Pappel;18;6;40;L;73150;355735;14,3191774306567;48,3356149470201
262;651;Betula;pendula; -;Weiﬂ-Birke;15;4;57;L;73084;355754;14,3182901314739;48,3357947406427
266;473;Quercus;robur; -;Stiel-Eiche;22;8;136;L;73067;355758;14,3180733951602;48,3358349278369
266;474;Fagus;sylvatica; -;Rotbuche;18;6;69;L;73066;355764;14,3180553028447;48,3358835935533
266;477;Fagus;sylvatica; -;Rotbuche;17;6;56;L;73050;355764;14,3178429044827;48,3358881239660
266;478;Fagus;sylvatica; -;Rotbuche;22;8;128;L;73052;355771;14,3178639701283;48,3359507130312
535;075;Carpinus;betulus;Fastigiata;S‰ulen-Hainbuche;7;1;23;L;70181;354589;14,2789578461460;48,3256453314911
535;076;Carpinus;betulus;Fastigiata;S‰ulen-Hainbuche;7;1;23;L;70181;354592;14,2789547774775;48,3256724228055
535;079;Prunus;padus; -;Trauben-Kirsche;12;4;84;L;70193;354597;14,2791135714019;48,3257216841319
535;080;Alnus;glutinosa; -;Schwarz-Erle;20;7;402;L;70192;354602;14,2791071162306;48,3257586184161
535;081;Sorbus;aria; -;Echte Mehlbeere;10;5;86;L;70194;354608;14,2791331359713;48,3258152142708
811;006;Robinia;pseudoacacia; -;Robinie;10;8;134;L;71027;347054;14,2891022531389;48,2577961300029
289;033;Taxus;baccata; -;Gemeine Eibe;9;10;132;N;72942;346701;14,3148280271700;48,2544054715915
289;034;Thuja;plicata; -;Riesen-Lebensbaum;15;2;94;N;72959;346699;14,3150469749674;48,2543897948573
666;083;Platanus;hispanica;  -;Ahornbl‰ttrige-Platane;20;12;140;L;70806;355016;14,2874575645117;48,3294124742027
243;001;Gleditsia;triacanthos; -;Christusdorn;14;16;122;L;72994;346677;14,3155264115919;48,2541832499783
243;005;Robinia;pseudoacacia; -;Robinie;8;10;82;L;72939;346640;14,3147747498398;48,2538641381421
666;078;Platanus;hispanica;  -;Ahornbl‰ttrige-Platane;22;12;142;L;70780;354974;14,2871000800056;48,3290448558947
295;003;Aesculus;hippocastanum; -;Gemeine Rosskastanie;8;6;45;L;72888;346745;14,3141084865414;48,2548131284942
666;075;Platanus;hispanica;  -;Ahornbl‰ttrige-Platane;21;12;151;L;70765;354950;14,2868848271447;48,3288277385186
205;007;Betula;pendula; -;Weiﬂ-Birke;9;6;150;L;70929;348309;14,2879885513077;48,2690913460649
614;001;Acer;campestre; -;Feld-Ahorn;7;5;70;L;70648;353787;14,2851097589173;48,3183862577868
924;004;Corylus;colurna; -;Baumhasel;8;5;50;L;72397;348515;14,3077931634134;48,2707829599075
1100;364;Tsuga;canadensis; -;Kanadische Hemlocktanne;10;10;167;N;70120;351457;14,2776107843479;48,2974887772402
924;005;Juglans;regia; -;Walnuss;5;4;50;L;72408;348501;14,3079430276900;48,2706589369941
1100;365;Tsuga;canadensis; -;Kanadische Hemlocktanne;10;14;244;N;70123;351455;14,2776479818739;48,2974753857097
1100;384;Pinus;sylvestris; -;Gemeine Kiefer / Weiﬂfˆhre;14;4;97;N;70090;351443;14,2772086737571;48,2973695628967
5105;051;Fagus;sylvatica; -;Rotbuche;12;5;90;L;72504;349879;14,3094693925781;48,2830345843746
141;046;Malus;sargentii; -;Kleinfr¸chiger Zier-Apfel / Sargents-Apfel;4;3;30;L;72073;349863;14,3036605509431;48,2829355663243
141;048;Malus;sargentii; -;Kleinfr¸chiger Zier-Apfel / Sargents-Apfel;4;3;30;L;72075;349867;14,3036942135321;48,2829787457353
519;039;Quercus;robur; -;Stiel-Eiche;13;11;142;L;70735;354316;14,2863809792556;48,3231309139374
377;030;Carpinus;betulus; -;Hainbuche;7;5;65;L;71957;352456;14,3025383505867;48,3062694331694
141;050;Prunus;serrulata; -;Japanische Bl¸ten-Kirsche;6;3;80;L;72063;349871;14,3035213858306;48,2830137230455
1449;022;Fraxinus;excelsior; -;Gemeine Esche;18;14;185;L;69342;351133;14,2670685841062;48,2946661804332
1449;023;Fraxinus;excelsior; -;Gemeine Esche;18;16;245;L;69344;351126;14,2671018023822;48,2945962791729
141;108c;Quercus;robur; -;Stiel-Eiche;9;4;40;L;72018;349928;14,3029302478729;48,2835304169622
141;109;Betula;pendula; -;Weiﬂ-Birke;9;4;40;L;72023;349913;14,3030003584283;48,2833921817317
290;721;Fraxinus;excelsior; -;Gemeine Esche;10;4;42;L;72893;355987;14,3157569136818;48,3379107900786
290;722;Fraxinus;excelsior; -;Gemeine Esche;10;4;30;L;72886;355988;14,3156633010131;48,3379185317496
290;746;Tilia;sp.;-;Linde;9;4;49;L;72815;355899;14,3146939128475;48,3371320883867
318;003;Platanus;hispanica;  -;Ahornbl‰ttrige-Platane;19;18;289;L;72848;351068;14,3143073907705;48,2936906882420
318;004;Fraxinus;excelsior; -;Gemeine Esche;16;15;214;L;72858;351060;14,3144434026717;48,2936175283017
318;009;Platanus;hispanica;  -;Ahornbl‰ttrige-Platane;17;18;308;L;72825;351042;14,3139934757767;48,2934536460384
318;012;Fagus;sylvatica;Purpurea;Blut-Buche S‰mling;10;6;87;L;72811;351049;14,3138083240819;48,2935212626245
755;002;Sorbus;aria; -;Echte Mehlbeere;8;5;66;L;71932;352496;14,3022128410441;48,3066346095309
621;014;Aesculus;carnea;Briotii;Scharlach- Kastanie;7;4;61;L;72430;355137;14,3093697274075;48,3303232119051
422;032;Pinus;nigra;austriaca;÷sterreichische Schwarz-Kiefer;9;8;111;N;71438;346132;14,2944765062693;48,2494594107060
422;117;Fagus;sylvatica; -;Rotbuche;13;11;271;L;71603;346160;14,2966999897946;48,2496975678172
525;159;Populus;nigra; -;Schwarz-Pappel;17;10;159;L;70781;353062;14,2867925111408;48,3118482764497
117;093;Pinus;sp.; -;Kiefer / Fˆhre;18;7;133;N;73050;351984;14,3171843006469;48,3019000557387
1096;005;Acer;sp.; -;Ahorn;8;4;66;L;75533;346733;14,3497210437156;48,2543924806801
1452;064;Sorbus;intermedia; -;Schwedische Mehlbeere;16;12;170;L;69391;350828;14,2676895267927;48,2919107831717
1452;065;Liquidambar;styraciflua; -;Amerikanischer Amberbaum;16;6;85;L;69387;350827;14,2676379274281;48,2919074320934
1452;061;Crataegus;crus-galli; -;Hahnendorn;4;2;25;L;69399;350835;14,2677881752805;48,2919778270384
747;003;Quercus;robur; -;Stiel-Eiche;14;10;145;L;72518;350209;14,3097133282325;48,2859972192191
747;005;Tilia;cordata; -;Winter-Linde;12;10;335;L;72434;350206;14,3085821629823;48,2859828803371
728;028;Tilia;platyphyllos; -;Sommer-Linde;12;6;91;L;72085;350284;14,3038933677117;48,2867239081939
5344;001;Quercus;robur; -;Stiel-Eiche;21;18;360;L;76476;344506;14,3620127330208;48,2342575841275
5453;015;Salix;alba; -;Silber-Weide;6;4;100;L;75102;346254;14,3438275222603;48,2501424147617
7;180;Quercus;rubra; -;Amerikanische Rot-Eiche;25;20;280;L;73309;355820;14,3213466451756;48,3363582058963
7261;003FL;Populus;sp.; -;Pappel;0;0;0;L;74135;351770;14,3317690349735;48,2998477521148
586;047;Fagus;sylvatica; -;Rotbuche;16;8;114;L;70541;354448;14,2837774489253;48,3243424684783
7;252;Fraxinus;excelsior; -;Gemeine Esche;30;8;190;L;73295;355914;14,3211697375042;48,3372089451546
7;253;Fagus;sylvatica; -;Rotbuche;22;8;188;L;73305;355909;14,3212973703035;48,3371672937001
7;254;Carpinus;betulus; -;Hainbuche;22;10;154;L;73295;355923;14,3211659807646;48,3372906706830
7;257;Acer;sp.; -;Ahorn;30;7;142;L;73307;355905;14,3213362895254;48,3371227135775
249;044a;Fraxinus;excelsior; -;Gemeine Esche;32;10;315;L;73271;355897;14,3208426778756;48,3370628580622
252;296;Tilia;sp.;-;Linde;20;7;116;L;73250;355798;14,3205384766720;48,3361726929037
252;320;Betula;pendula; -;Weiﬂ-Birke;22;8;96;L;73142;355857;14,3191019933230;48,3367116324304
252;322;Betula;papyrifera; -;Papier-Birke;19;9;87;L;73130;355858;14,3189364243080;48,3367229672647
252;323;Fraxinus;excelsior; -;Gemeine Esche;18;8;87;L;73124;355856;14,3188521209957;48,3367108896355
666;072;Platanus;hispanica;  -;Ahornbl‰ttrige-Platane;21;12;137;L;70746;354925;14,2866296130297;48,3286019578219
266;508;Fagus;sylvatica; -;Rotbuche;18;9;141;L;72845;355801;14,3150869541849;48,3362466262194
266;509;Fagus;sylvatica; -;Rotbuche;20;6;135;L;72840;355802;14,3150166111402;48,3362578063539
1282;024;Betula;sp.; -;Birke;6;3;33;L;70073;346331;14,2761368090957;48,2513997781729
