Anlage;Name;Bereich;Bezirksnummer;Bezirksname;Stadtteil;Art;URL;Koordinaten;Straße;Postleitzahl;Ort;Koordinate Nord;Koordinate Ost;Google-Maps Link
Spielanlage;Kinder- und Jugendspielplatz Keplerstraße;Keplerstraße;2;Urfahr;Urfahr;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5821.php;POINT (14.283976 48.328133);;;;48 328 133;14 283 976;https://www.google.at/maps/place/48.328133,14.283976
Spielanlage;Kinderspielplatz Am Damm;Heinrich-Gleißner-Promenade;2;Urfahr;Urfahr;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5824.php;POINT (14.292527 48.31664);;;;48 316 377;14 291 948;https://www.google.at/maps/place/48.316377,14.291948
Spielanlage;Kinderspielplatz Nußbaumerstraße;Nußbaumstraße;3;Pöstlingberg;Urfahr;Kinderspielplatz (0 - 6 Jahre);https://www.linz.at/soziales/5815.php;POINT (14.281576 48.336966);;;;48 336 966;14 281 576;https://www.google.at/maps/place/48.336966,14.281576
Spielanlage;Kinder- und Jugendspielplatz Pulvermühlpark;Pulvermühlpark;4;St. Magdalena;Urfahr;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5635.php;;;;;48 333 070;14 301 153;https://www.google.at/maps/place/48.333070,14.301153
Spielanlage;Jugendspielplatz Urnenhain;Urnenhain;2;Urfahr;Urfahr;Jugendspielplatz (12 - 18 Jahre);https://www.linz.at/soziales/5692.php;POINT (14.294143 48.323732);;;;48 323 732;14 294 143;https://www.google.at/maps/place/48.323732,14.294143
Spielanlage;Kinder- und Jugendspielplatz Baumgärtelstraße;Baumgärtelstraße;4;St. Magdalena;Urfahr;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5800.php;POINT (14.309633 48.329897);;;;48 329 974;14 309 339;https://www.google.at/maps/place/48.329974,14.309339
Spielanlage;Kinder- und Jugendspielplatz Biesenfeld;Biesenfeld ;4;St. Magdalena;Urfahr;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5731.php;POINT (14.30352 48.334715);;;;48 334 608;14 303 473;https://www.google.at/maps/place/48.334608,14.303473
Spielanlage;Kinder- und Jugendspielplatz Hainischstraße;Hainischstraße;5;Dornach-Auhof;Urfahr;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5722.php;POINT (14.321935 48.331411);Michael-Hainisch-Straße 16;4040;Linz;48 331 981;14 322 571;https://www.google.at/maps/place/48.331981,14.322571
Spielanlage;Kinder- und Jugendspielplatz Kirchmühlstraße/Klausenbachstraße;Kirchmühlstraße/Klausenbachstraße;4;St. Magdalena;Urfahr;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5716.php;POINT (14.296398 48.336123);;;;48 336 123;14 296 398;https://www.google.at/maps/place/48.336123,14.296398
Spielanlage;Kinder- und Jugendspielplatz Neufahrergasse;Neufahrergasse;4;St. Magdalena;Urfahr;Kinder- und Jugendspielplatz (6 - 18 Jahre);https://www.linz.at/soziales/5710.php;POINT (14.292722 48.344639);;;;48 344 639;14 292 722;https://www.google.at/maps/place/48.344639,14.292722
Spielanlage;Jugendspielplatz Schumpeterstraße;Schumpeterstraße;5;Dornach-Auhof;Urfahr;Jugendspielplatz (12 - 18 Jahre);https://www.linz.at/soziales/5695.php;POINT (14.315483 48.332545);;;;48 332 545;14 315 483;https://www.google.at/maps/place/48.332545,14.315483
Spielanlage;Kinderspielplatz Sombartstraße;Sombartstraße;5;Dornach-Auhof;Urfahr;Kinderspielplatz (0 - 6 Jahre);https://www.linz.at/soziales/5812.php;POINT (14.316591 48.334064);;;;48 334 290;14 316 387;https://www.google.at/maps/place/48.334290,14.316387
